policy,delivery_ratio,drop_ratio,avg_delay,avg_remaining_energy,constraint_violations,total_hops
energy,0.3160434022196378,0.6799894768890662,7.216703062091301,951.6843178779354,296.2,5811.6
min_delay,0.3004798281198829,0.6955842143104587,7.16750192748511,951.4102452018775,308.4,5889.4
random,0.27712675786046903,0.7205926309951195,6.871748562362441,958.7855749092329,305.6,4075.6
shortest,0.2871241162212018,0.7110417048435919,7.066033088539955,962.4685996261799,409.4,3672.4
