seed,policy,step,generated,delivered,dropped,delivery_ratio,drop_ratio,avg_delay,avg_remaining_energy,min_remaining_energy,constraint_violations,num_edges,avg_queue_len,total_hops
0,random,200.0,2101.0,422.0,1662.0,0.2008567348881485,0.7975047984644914,6.852399798035342,953.3201995598702,939.994728285212,418.0,50.0,0.85,4853.0
0,shortest,200.0,2081.0,455.0,1605.0,0.21864488226814033,0.779126213592233,6.953207907380623,955.0823880242308,936.120491984542,461.0,50.0,1.05,4759.0
0,min_delay,200.0,2006.0,459.0,1521.0,0.2288135593220339,0.7681818181818182,7.149384707253559,944.8652223611673,925.8156703970764,363.0,50.0,1.3,6761.0
0,energy,200.0,2030.0,454.0,1550.0,0.22364532019704433,0.7734530938123753,7.157744338759582,944.055801912427,925.4312844019951,408.0,50.0,1.3,6876.0
1,random,200.0,1937.0,604.0,1324.0,0.3118224057821373,0.6867219917012448,6.553711860613557,962.7680537248855,950.2077609266405,267.0,88.0,0.45,3540.0
1,shortest,200.0,1941.0,602.0,1330.0,0.3101494075218959,0.6884057971014492,6.923231633548312,966.1324233529333,953.4194507062789,352.0,88.0,0.45,3209.0
1,min_delay,200.0,1996.0,654.0,1322.0,0.3276553106212425,0.6690283400809717,7.00652524153993,954.5451270645801,936.5932632694149,332.0,88.0,1.0,5468.0
1,energy,200.0,1925.0,674.0,1233.0,0.3501298701298701,0.6465652857891977,7.067818362522414,955.5260398961306,934.9510888056499,270.0,88.0,0.9,5283.0
2,random,200.0,1953.0,503.0,1424.0,0.257552483358935,0.7389724961079398,7.0507260673271945,960.8942904244607,940.1792927337762,336.0,70.0,1.3,3726.0
2,shortest,200.0,2038.0,547.0,1471.0,0.26840039254170756,0.7289395441030724,7.159467956112615,965.6325787252802,948.9097418045409,469.0,70.0,1.0,3195.0
2,min_delay,200.0,2030.0,550.0,1459.0,0.270935960591133,0.726231956197113,7.335530955895067,953.7019976615172,930.7937197913101,389.0,70.0,1.05,5459.0
2,energy,200.0,1932.0,552.0,1357.0,0.2857142857142857,0.7108433734939759,7.403902213076967,957.0463742158379,941.4855864475251,338.0,70.0,1.15,5036.0
3,random,200.0,2045.0,641.0,1393.0,0.3134474327628362,0.6848574237954769,7.0906045063720216,956.8130542172175,937.3713633236258,247.0,112.0,0.55,4496.0
3,shortest,200.0,2065.0,662.0,1399.0,0.32058111380145277,0.6787967006307618,7.351806919851616,961.223010164591,941.4911078071426,336.0,112.0,0.2,4079.0
3,min_delay,200.0,1903.0,624.0,1259.0,0.3279033105622701,0.6686139139670738,7.263002429496739,952.1841495007909,934.8312537396671,195.0,112.0,1.0,5981.0
3,energy,200.0,2088.0,737.0,1330.0,0.3529693486590038,0.6434446057087566,7.3961600313519,948.954188128155,934.5028439766941,217.0,112.0,1.05,6390.0
4,random,200.0,1944.0,587.0,1337.0,0.3019547325102881,0.6949064449064449,6.811300579464093,960.13227661973,943.8726654090398,260.0,46.0,1.0,3763.0
4,shortest,200.0,2023.0,643.0,1366.0,0.31784478497281266,0.679940268790443,6.942451025806606,964.2725978638642,952.9155647547182,429.0,46.0,0.7,3120.0
4,min_delay,200.0,2011.0,698.0,1273.0,0.347090999502735,0.6458650431253171,7.083066303240249,951.7547294213318,922.9288845712264,263.0,46.0,2.0,5778.0
4,energy,200.0,1985.0,730.0,1220.0,0.3677581863979849,0.6256410256410256,7.057890364745642,952.8391852371262,928.6759604866115,248.0,46.0,1.75,5473.0
